store_nbr,item_nbr,units,season
10,86,1,summer
10,93,12,summer
11,9,65,summer
11,68,30,summer
11,87,4,summer
12,16,24,summer
12,37,9,summer
12,79,6,summer
12,93,23,summer
13,5,114,summer
13,36,101,summer
13,46,3,summer
14,9,26,summer
14,25,6,summer
14,70,1,summer
14,93,3,summer
15,5,110,summer
15,17,1,summer
15,45,91,summer
15,61,1,summer
15,93,5,summer
16,16,28,summer
16,25,187,summer
16,85,2,summer
16,93,7,summer
17,9,65,summer
17,37,47,summer
17,48,181,summer
18,5,22,summer
18,37,5,summer
18,57,1,summer
19,16,11,summer
19,69,1,summer
19,83,12,summer
19,88,1,summer
19,93,10,summer
20,5,82,summer
20,41,50,summer
20,74,7,summer
21,5,24,summer
21,44,89,summer
22,9,42,summer
22,54,2,summer
22,68,31,summer
22,78,3,summer
22,93,23,summer
23,5,13,summer
23,45,48,summer
24,6,15,summer
24,43,64,summer
25,9,132,summer
25,12,3,summer
25,45,84,summer
25,81,13,summer
25,93,13,summer
26,2,3,summer
26,5,54,summer
26,45,55,summer
27,9,28,summer
27,21,4,summer
27,68,49,summer
27,93,9,summer
28,2,1,summer
28,5,23,summer
28,35,1,summer
28,45,55,summer
29,8,19,summer
29,41,25,summer
29,45,101,summer
30,16,38,summer
30,44,203,summer
30,65,2,summer
31,9,19,summer
31,45,90,summer
32,9,8,summer
32,45,69,summer
32,58,1,summer
32,93,1,summer
33,9,99,summer
33,44,180,summer
33,92,2,summer
34,9,58,summer
34,45,106,summer
34,93,2,summer
35,16,16,summer
35,63,2,summer
35,66,15,summer
35,93,2,summer
36,1,3,summer
36,9,42,summer
36,30,1,summer
36,44,83,summer
37,5,16,summer
37,45,42,summer
38,9,63,summer
38,45,114,summer
38,52,1,summer
39,9,3,summer
39,36,9,summer
40,5,35,summer
40,45,75,summer
40,93,8,summer
41,16,29,summer
41,68,29,summer
41,86,2,summer
41,93,6,summer
42,5,42,summer
42,45,77,summer
43,3,5,summer
43,16,44,summer
43,37,9,summer
43,93,3,summer
44,5,14,summer
44,68,66,summer
44,93,2,summer
45,9,21,summer
45,26,3,summer
1,9,13,summer
1,28,4,summer
1,93,2,summer
2,5,71,summer
2,44,114,summer
3,2,3,summer
3,5,53,summer
3,45,66,summer
4,9,142,summer
4,27,7,summer
4,90,2,summer
4,93,1,summer
5,16,7,summer
5,20,1,summer
5,37,3,summer
5,93,12,summer
6,9,49,summer
6,45,58,summer
7,5,78,summer
7,7,2,summer
7,23,19,summer
8,5,10,summer
8,23,8,summer
8,59,1,summer
9,5,45,summer
9,10,1,summer
9,42,15,summer
9,45,79,summer
10,5,28,summer
10,21,1,summer
10,37,25,summer
10,93,17,summer
11,9,35,summer
11,68,30,summer
11,86,2,summer
11,87,1,summer
12,16,33,summer
12,37,15,summer
12,93,36,summer
13,5,121,summer
13,36,80,summer
13,46,1,summer
13,93,2,summer
14,9,16,summer
14,25,15,summer
14,33,3,summer
15,5,57,summer
15,45,85,summer
15,61,3,summer
16,16,28,summer
16,25,135,summer
16,93,2,summer
17,9,81,summer
17,37,59,summer
17,48,188,summer
17,71,3,summer
18,5,30,summer
18,37,6,summer
19,16,28,summer
19,83,6,summer
19,93,4,summer
20,5,88,summer
20,18,1,summer
20,41,24,summer
20,74,1,summer
21,5,32,summer
21,44,75,summer
21,91,2,summer
22,9,58,summer
22,54,1,summer
22,68,38,summer
22,93,56,summer
23,5,44,summer
23,45,33,summer
23,56,2,summer
24,6,33,summer
24,43,48,summer
24,60,1,summer
25,9,32,summer
25,12,1,summer
25,45,71,summer
25,81,8,summer
26,2,2,summer
26,5,82,summer
26,45,53,summer
27,9,18,summer
27,21,1,summer
27,68,32,summer
27,93,30,summer
28,2,4,summer
28,5,25,summer
28,35,1,summer
28,45,63,summer
29,8,10,summer
29,41,17,summer
29,45,60,summer
29,56,1,summer
30,13,1,summer
30,16,35,summer
30,44,171,summer
31,9,45,summer
31,45,80,summer
32,9,38,summer
32,45,59,summer
32,58,2,summer
32,93,7,summer
33,9,32,summer
33,44,203,summer
33,92,1,summer
34,9,54,summer
34,45,106,summer
34,52,1,summer
35,16,24,summer
35,66,9,summer
35,93,13,summer
36,1,3,summer
36,9,44,summer
36,30,2,summer
36,44,68,summer
37,5,39,summer
37,45,54,summer
37,53,1,summer
38,9,60,summer
38,45,72,summer
38,52,1,summer
39,9,3,summer
39,36,14,summer
40,5,15,summer
40,45,48,summer
40,55,1,summer
40,93,4,summer
41,16,26,summer
41,61,2,summer
41,68,23,summer
41,86,1,summer
41,93,5,summer
42,5,29,summer
42,45,83,summer
43,3,4,summer
43,16,25,summer
43,37,5,summer
43,73,1,summer
43,93,1,summer
44,5,16,summer
44,62,1,summer
44,68,35,summer
44,93,38,summer
45,9,6,summer
45,26,5,summer
1,9,10,summer
1,93,8,summer
2,5,37,summer
2,11,4,summer
2,44,114,summer
3,2,3,summer
3,5,23,summer
3,45,66,summer
4,9,52,summer
4,27,3,summer
4,90,1,summer
4,93,2,summer
5,16,24,summer
5,37,10,summer
5,93,9,summer
6,9,23,summer
6,45,59,summer
7,5,67,summer
7,7,3,summer
7,23,25,summer
8,5,12,summer
8,23,10,summer
8,59,2,summer
9,5,73,summer
9,10,2,summer
9,42,14,summer
9,45,75,summer
10,5,40,summer
10,21,1,summer
10,37,3,summer
10,93,2,summer
11,9,59,summer
11,68,40,summer
11,87,1,summer
12,16,36,summer
12,37,16,summer
12,93,2,summer
13,5,32,summer
13,36,97,summer
13,93,2,summer
14,9,22,summer
14,25,10,summer
14,70,1,summer
15,5,90,summer
15,45,66,summer
15,61,2,summer
15,93,2,summer
16,16,18,summer
16,25,109,summer
16,93,2,summer
17,9,100,summer
17,37,34,summer
17,48,164,summer
17,71,3,summer
18,5,16,summer
18,37,5,summer
18,57,1,summer
19,16,8,summer
19,69,2,summer
19,83,11,summer
20,5,72,summer
20,18,1,summer
20,41,28,summer
20,93,3,summer
21,5,38,summer
21,44,92,summer
22,9,21,summer
22,68,50,summer
22,78,1,summer
22,93,27,summer
23,5,30,summer
23,29,1,summer
23,45,42,summer
24,6,46,summer
24,43,50,summer
25,9,49,summer
25,45,56,summer
25,81,8,summer
25,93,4,summer
26,2,4,summer
26,5,68,summer
26,45,61,summer
27,9,28,summer
27,68,51,summer
27,93,22,summer
28,2,2,summer
28,5,31,summer
28,45,68,summer
29,8,13,summer
29,41,22,summer
29,45,96,summer
30,13,1,summer
30,16,32,summer
30,44,156,summer
31,9,24,summer
31,45,71,summer
32,9,35,summer
32,45,52,summer
32,58,1,summer
32,93,9,summer
33,9,30,summer
33,44,157,summer
33,92,2,summer
34,9,36,summer
34,45,111,summer
34,52,2,summer
35,16,15,summer
35,63,2,summer
35,66,11,summer
35,93,2,summer
36,9,19,summer
36,30,2,summer
36,44,76,summer
37,5,13,summer
37,45,43,summer
38,9,62,summer
38,45,96,summer
38,52,1,summer
38,93,12,summer
39,9,3,summer
39,36,9,summer
40,5,28,summer
40,45,61,summer
40,55,4,summer
40,93,25,summer
41,16,29,summer
41,68,21,summer
41,93,1,summer
42,5,30,summer
42,45,69,summer
43,3,2,summer
43,16,45,summer
43,37,7,summer
44,5,28,summer
44,62,3,summer
44,68,52,summer
44,93,2,summer
44,94,4,summer
45,9,43,summer
45,26,5,summer
1,9,12,summer
1,28,3,summer
1,93,2,summer
2,5,80,summer
2,11,1,summer
2,44,121,summer
3,2,1,summer
3,5,70,summer
3,45,65,summer
4,9,60,summer
4,27,3,summer
5,16,15,summer
5,20,3,summer
5,32,3,summer
5,37,9,summer
6,9,17,summer
6,14,1,summer
6,45,52,summer
7,5,93,summer
7,7,3,summer
7,23,18,summer
7,93,2,summer
8,5,34,summer
8,23,14,summer
8,59,1,summer
8,84,1,summer
8,93,1,summer
9,5,43,summer
9,10,1,summer
9,42,6,summer
9,45,63,summer
9,93,4,summer
10,5,10,summer
10,21,1,summer
10,37,5,summer
11,9,26,summer
11,68,34,summer
11,87,1,summer
12,16,36,summer
12,37,13,summer
12,79,2,summer
13,5,108,summer
13,36,97,summer
13,46,1,summer
14,9,11,summer
14,25,12,summer
14,70,3,summer
15,5,68,summer
15,45,77,summer
15,93,3,summer
16,16,23,summer
16,25,138,summer
17,9,144,summer
17,37,46,summer
17,48,166,summer
18,5,20,summer
18,37,6,summer
18,57,1,summer
18,72,1,summer
19,16,11,summer
19,83,10,summer
19,93,1,summer
20,5,74,summer
20,41,11,summer
21,5,26,summer
21,44,78,summer
22,9,58,summer
22,54,2,summer
22,68,52,summer
22,78,1,summer
22,93,5,summer
23,5,39,summer
23,29,2,summer
23,45,26,summer
24,6,29,summer
24,43,52,summer
24,60,1,summer
25,9,92,summer
25,45,76,summer
25,81,9,summer
25,84,1,summer
25,93,5,summer
26,2,4,summer
26,5,65,summer
26,45,51,summer
27,9,11,summer
27,21,2,summer
27,68,35,summer
27,93,4,summer
28,5,14,summer
28,45,44,summer
29,8,48,summer
29,41,22,summer
29,45,53,summer
30,16,14,summer
30,44,149,summer
30,65,1,summer
31,9,28,summer
31,45,52,summer
31,93,1,summer
32,9,18,summer
32,19,1,summer
32,45,45,summer
32,58,1,summer
32,86,1,summer
32,93,13,summer
33,9,133,summer
33,44,175,summer
33,92,1,summer
34,9,24,summer
34,45,90,summer
34,52,1,summer
35,16,14,summer
35,63,1,summer
35,66,4,summer
36,1,1,summer
36,9,14,summer
36,44,79,summer
37,5,49,summer
37,45,65,summer
38,9,59,summer
38,45,70,summer
38,52,1,summer
38,93,6,summer
39,9,12,summer
39,36,12,summer
40,5,28,summer
40,45,42,summer
40,93,5,summer
41,16,21,summer
41,68,24,summer
41,86,1,summer
41,93,6,summer
42,5,22,summer
42,45,76,summer
42,82,1,summer
43,16,32,summer
43,37,8,summer
44,5,29,summer
44,62,2,summer
44,68,77,summer
44,94,1,summer
45,9,15,summer
45,26,6,summer
1,9,44,summer
1,28,3,summer
1,93,3,summer
2,5,41,summer
2,44,105,summer
2,93,9,summer
3,2,1,summer
3,5,56,summer
3,45,99,summer
3,93,1,summer
4,9,63,summer
4,27,4,summer
4,90,3,summer
4,93,4,summer
5,16,17,summer
5,20,2,summer
5,37,12,summer
5,93,1,summer
6,9,17,summer
6,45,60,summer
7,5,110,summer
7,7,2,summer
7,23,24,summer
8,5,25,summer
8,23,11,summer
8,59,1,summer
9,5,111,summer
9,42,10,summer
9,45,79,summer
9,93,8,summer
10,5,54,summer
10,21,1,summer
10,37,7,summer
10,86,1,summer
11,9,20,summer
11,68,42,summer
11,87,3,summer
12,16,33,summer
12,37,23,summer
12,93,44,summer
13,5,78,summer
13,36,115,summer
14,9,5,summer
14,25,19,summer
15,5,62,summer
15,17,2,summer
15,45,108,summer
15,86,1,summer
15,93,2,summer
16,16,43,summer
16,25,207,summer
17,9,116,summer
17,37,41,summer
17,48,180,summer
18,5,9,summer
18,37,9,summer
19,16,16,summer
19,83,11,summer
19,93,2,summer
20,5,63,summer
20,41,40,summer
20,74,4,summer
20,93,4,summer
21,5,22,summer
21,44,73,summer
22,9,50,summer
22,54,1,summer
22,68,66,summer
22,78,3,summer
22,93,2,summer
23,5,32,summer
23,29,1,summer
23,45,36,summer
23,56,2,summer
24,6,25,summer
24,43,71,summer
24,60,1,summer
25,9,30,summer
25,45,82,summer
25,81,9,summer
25,84,1,summer
26,5,58,summer
26,45,69,summer
27,9,26,summer
27,68,43,summer
27,80,1,summer
27,93,2,summer
28,5,36,summer
28,45,46,summer
29,8,42,summer
29,41,16,summer
29,45,73,summer
29,56,2,summer
30,13,4,summer
30,16,47,summer
30,44,274,summer
31,9,65,summer
31,45,102,summer
31,93,2,summer
32,9,26,summer
32,45,50,summer
32,93,5,summer
33,9,76,summer
33,44,221,summer
33,92,1,summer
34,9,22,summer
34,31,2,summer
34,45,120,summer
34,52,3,summer
35,16,14,summer
35,63,2,summer
35,66,9,summer
35,93,1,summer
36,1,2,summer
36,9,18,summer
36,44,105,summer
37,5,69,summer
37,45,63,summer
38,9,3,summer
38,45,115,summer
38,52,1,summer
39,9,3,summer
39,36,13,summer
40,5,52,summer
40,45,61,summer
40,93,11,summer
41,16,25,summer
41,61,4,summer
41,68,22,summer
42,5,78,summer
42,45,81,summer
42,82,1,summer
43,3,1,summer
43,16,37,summer
43,37,15,summer
44,5,42,summer
44,68,66,summer
44,93,2,summer
44,94,1,summer
45,9,5,summer
45,26,6,summer
1,9,9,summer
1,28,4,summer
1,93,10,summer
2,5,74,summer
2,44,145,summer
3,2,3,summer
3,5,57,summer
3,45,94,summer
3,93,4,summer
4,9,68,summer
4,27,3,summer
5,16,21,summer
5,20,2,summer
5,32,2,summer
5,37,12,summer
5,93,2,summer
6,9,26,summer
6,45,71,summer
7,5,111,summer
7,23,30,summer
7,93,4,summer
8,5,12,summer
8,23,9,summer
8,84,2,summer
8,93,3,summer
9,5,88,summer
9,10,2,summer
9,42,13,summer
9,45,95,summer
10,5,61,summer
10,21,1,summer
10,37,13,summer
11,9,38,summer
11,61,3,summer
11,68,33,summer
11,86,1,summer
11,87,4,summer
12,16,41,summer
12,37,18,summer
12,79,3,summer
12,93,1,summer
13,5,58,summer
13,36,124,summer
13,46,8,summer
13,93,6,summer
14,9,1,summer
14,25,11,summer
14,33,1,summer
14,70,1,summer
15,5,94,summer
15,45,107,summer
15,61,2,summer
15,93,2,summer
16,16,35,summer
16,25,216,summer
16,85,1,summer
16,93,3,summer
17,9,110,summer
17,37,65,summer
17,48,217,summer
18,5,33,summer
18,37,6,summer
18,72,1,summer
19,16,13,summer
19,69,2,summer
19,83,16,summer
19,88,1,summer
19,93,4,summer
20,5,103,summer
20,18,2,summer
20,41,32,summer
20,74,2,summer
20,93,4,summer
21,5,27,summer
21,44,93,summer
22,9,42,summer
22,68,59,summer
22,78,5,summer
22,93,3,summer
23,5,58,summer
23,29,1,summer
23,45,33,summer
23,56,3,summer
24,6,18,summer
24,43,64,summer
25,9,68,summer
25,45,112,summer
25,81,16,summer
25,93,7,summer
26,2,3,summer
26,5,94,summer
26,45,63,summer
27,9,31,summer
27,21,1,summer
27,68,38,summer
28,5,48,summer
28,45,47,summer
29,8,15,summer
29,41,17,summer
29,45,87,summer
29,56,1,summer
30,16,45,summer
30,44,217,summer
30,65,1,summer
31,9,32,summer
31,45,119,summer
31,93,1,summer
32,9,28,summer
32,45,47,summer
32,58,5,summer
32,86,1,summer
32,93,6,summer
33,9,158,summer
33,44,223,summer
33,92,5,summer
33,93,2,summer
34,9,26,summer
34,45,134,summer
34,52,4,summer
35,16,14,summer
35,66,15,summer
35,93,1,summer
36,1,2,summer
36,9,13,summer
36,44,100,summer
37,5,38,summer
37,45,47,summer
38,9,59,summer
38,45,107,summer
38,52,1,summer
39,9,16,summer
39,36,27,summer
40,5,80,summer
40,45,87,summer
40,55,3,summer
40,93,8,summer
41,16,23,summer
41,61,1,summer
41,68,21,summer
42,5,19,summer
42,45,74,summer
42,82,2,summer
43,3,4,summer
43,16,58,summer
43,37,20,summer
44,5,28,summer
44,62,1,summer
44,68,77,summer
44,93,8,summer
44,94,2,summer
45,26,4,summer
1,9,36,summer
1,28,4,summer
1,93,20,summer
2,5,224,summer
2,11,1,summer
2,44,265,summer
3,2,2,summer
3,5,166,summer
3,45,156,summer
4,9,121,summer
4,27,12,summer
4,93,7,summer
5,16,28,summer
5,20,2,summer
5,37,22,summer
6,9,69,summer
6,14,1,summer
6,45,115,summer
7,5,112,summer
7,7,1,summer
7,23,36,summer
8,5,24,summer
8,23,18,summer
8,93,4,summer
9,5,99,summer
9,42,16,summer
9,45,125,summer
10,5,106,summer
10,37,15,summer
11,9,42,summer
11,68,58,summer
11,86,1,summer
12,16,52,summer
12,37,24,summer
12,93,2,summer
13,5,174,summer
13,36,143,summer
13,46,5,summer
13,93,4,summer
14,9,11,summer
14,93,5,summer
15,5,95,summer
15,17,2,summer
15,45,131,summer
15,86,2,summer
15,93,4,summer
16,16,46,summer
16,25,148,summer
17,9,269,summer
17,37,91,summer
17,48,225,summer
17,71,1,summer
18,5,50,summer
18,37,13,summer
18,72,1,summer
19,16,14,summer
19,83,10,summer
20,5,156,summer
20,18,1,summer
20,41,74,summer
20,74,1,summer
21,5,105,summer
21,44,143,summer
22,9,86,summer
22,68,33,summer
22,78,3,summer
23,5,50,summer
23,45,61,summer
23,56,2,summer
24,6,25,summer
24,43,60,summer
25,9,137,summer
25,45,114,summer
25,81,10,summer
25,93,3,summer
26,5,99,summer
26,45,60,summer
27,9,22,summer
27,68,33,summer
27,93,3,summer
28,5,110,summer
28,35,2,summer
28,45,105,summer
29,8,68,summer
29,41,54,summer
29,45,119,summer
30,16,39,summer
30,44,259,summer
30,65,2,summer
31,9,73,summer
31,45,117,summer
32,9,30,summer
32,45,57,summer
32,58,2,summer
32,93,7,summer
33,9,239,summer
33,44,398,summer
33,92,1,summer
33,93,2,summer
34,9,49,summer
34,45,171,summer
34,52,4,summer
35,16,23,summer
35,66,20,summer
35,93,1,summer
36,1,1,summer
36,9,78,summer
36,30,2,summer
36,44,108,summer
37,5,44,summer
37,45,94,summer
38,9,230,summer
38,45,203,summer
38,52,1,summer
39,9,2,summer
39,36,17,summer
40,5,114,summer
40,45,89,summer
40,55,3,summer
40,93,6,summer
41,16,36,summer
41,68,51,summer
41,93,2,summer
42,5,187,summer
42,45,130,summer
42,82,1,summer
43,3,3,summer
43,16,63,summer
43,37,11,summer
43,73,2,summer
44,5,34,summer
44,62,2,summer
44,68,46,summer
45,26,9,summer
1,9,24,summer
1,28,3,summer
1,51,2,summer
2,5,79,summer
2,44,133,summer
3,2,1,summer
3,5,78,summer
3,45,89,summer
4,9,32,summer
4,27,4,summer
4,90,2,summer
5,16,31,summer
5,20,2,summer
5,32,4,summer
5,37,7,summer
6,9,88,summer
6,14,1,summer
6,45,71,summer
7,5,90,summer
7,23,30,summer
8,5,35,summer
8,23,16,summer
8,93,4,summer
9,5,60,summer
9,42,14,summer
9,45,115,summer
9,93,3,summer
10,5,49,summer
10,21,1,summer
10,37,12,summer
11,9,35,summer
11,68,39,summer
11,87,2,summer
12,16,45,summer
12,37,5,summer
13,5,76,summer
13,36,114,summer
13,46,2,summer
14,9,6,summer
14,25,9,summer
15,5,36,summer
15,17,2,summer
15,45,126,summer
15,61,1,summer
16,16,44,summer
16,25,191,summer
16,93,9,summer
17,9,133,summer
17,37,45,summer
17,48,176,summer
18,5,9,summer
18,37,9,summer
18,72,2,summer
19,16,13,summer
19,69,1,summer
19,83,7,summer
20,5,114,summer
20,18,2,summer
20,41,43,summer
20,74,7,summer
21,5,69,summer
21,44,79,summer
22,9,59,summer
22,68,57,summer
22,78,1,summer
23,5,61,summer
23,29,1,summer
23,45,37,summer
23,56,3,summer
24,6,25,summer
24,43,54,summer
24,60,3,summer
25,9,135,summer
25,12,1,summer
25,45,94,summer
25,81,8,summer
26,2,1,summer
26,5,89,summer
26,45,41,summer
27,9,30,summer
27,21,2,summer
27,68,46,summer
28,2,3,summer
28,5,60,summer
28,45,72,summer
29,8,51,summer
29,41,27,summer
29,45,76,summer
30,16,70,summer
30,44,263,summer
30,65,1,summer
31,9,40,summer
31,45,86,summer
32,9,49,summer
32,45,61,summer
32,58,10,summer
32,86,2,summer
32,93,11,summer
33,9,61,summer
33,44,200,summer
33,92,1,summer
34,9,60,summer
34,45,116,summer
34,52,2,summer
35,16,22,summer
35,66,23,summer
36,1,1,summer
36,9,21,summer
36,30,2,summer
36,44,93,summer
37,5,60,summer
37,45,63,summer
38,9,78,summer
38,45,140,summer
38,52,1,summer
39,9,4,summer
39,36,17,summer
40,5,71,summer
40,45,79,summer
40,93,2,summer
41,16,36,summer
41,68,26,summer
41,93,6,summer
42,5,81,summer
42,45,77,summer
42,82,2,summer
43,3,2,summer
43,16,65,summer
43,37,14,summer
43,73,1,summer
44,5,63,summer
44,62,2,summer
44,68,67,summer
45,9,59,summer
45,26,3,summer
1,9,45,summer
1,28,4,summer
1,93,5,summer
2,5,26,summer
2,44,168,summer
3,5,147,summer
3,45,80,summer
4,9,103,summer
4,27,10,summer
4,90,3,summer
5,16,20,summer
5,20,2,summer
5,32,1,summer
5,37,12,summer
6,9,37,summer
6,14,2,summer
6,45,62,summer
7,5,119,summer
7,23,19,summer
8,5,35,summer
8,23,8,summer
8,59,2,summer
8,93,3,summer
9,5,92,summer
9,10,5,summer
9,42,1,summer
9,45,93,summer
9,93,2,summer
10,5,60,summer
10,37,11,summer
10,93,4,summer
11,9,25,summer
11,61,2,summer
11,68,51,summer
12,16,32,summer
12,37,17,summer
12,93,10,summer
13,5,116,summer
13,36,123,summer
14,9,13,summer
14,25,19,summer
14,33,1,summer
14,70,1,summer
14,93,24,summer
15,5,81,summer
15,17,1,summer
15,45,90,summer
15,61,2,summer
15,93,11,summer
16,16,23,summer
16,25,125,summer
17,9,245,summer
17,37,104,summer
17,48,244,summer
17,71,2,summer
18,5,68,summer
18,37,8,summer
19,16,13,summer
19,69,1,summer
19,83,13,summer
19,88,1,summer
19,93,20,summer
20,5,80,summer
20,18,1,summer
20,41,30,summer
20,74,3,summer
20,93,2,summer
21,5,43,summer
21,44,61,summer
21,91,1,summer
22,9,67,summer
22,54,3,summer
22,68,57,summer
22,78,2,summer
23,5,21,summer
23,29,2,summer
23,45,48,summer
24,6,11,summer
24,43,48,summer
25,9,86,summer
25,45,88,summer
25,81,19,summer
25,93,3,summer
26,5,48,summer
26,45,47,summer
27,9,24,summer
27,68,47,summer
28,2,1,summer
28,5,57,summer
28,35,1,summer
28,45,52,summer
29,8,33,summer
29,41,16,summer
29,45,66,summer
29,56,1,summer
30,13,3,summer
30,16,56,summer
30,44,359,summer
31,9,45,summer
31,45,92,summer
31,93,2,summer
32,9,51,summer
32,45,47,summer
32,86,4,summer
32,93,2,summer
33,9,109,summer
33,44,252,summer
33,92,4,summer
33,93,4,summer
34,9,35,summer
34,45,125,summer
34,52,4,summer
34,93,4,summer
35,16,16,summer
35,63,5,summer
35,66,17,summer
35,93,2,summer
36,9,69,summer
36,44,131,summer
37,5,59,summer
37,45,51,summer
37,53,1,summer
38,9,116,summer
38,45,87,summer
38,52,3,summer
38,93,3,summer
39,9,2,summer
39,36,7,summer
40,5,62,summer
40,45,63,summer
40,55,2,summer
40,93,5,summer
41,16,47,summer
41,68,45,summer
42,5,88,summer
42,45,83,summer
43,3,4,summer
43,16,66,summer
43,37,14,summer
43,73,1,summer
44,5,38,summer
44,62,1,summer
44,68,63,summer
44,93,4,summer
44,94,1,summer
45,9,26,summer
45,26,3,summer
1,9,14,summer
1,28,1,summer
1,93,9,summer
2,5,52,summer
2,11,1,summer
2,44,119,summer
3,5,85,summer
3,45,85,summer
3,93,6,summer
4,9,35,summer
4,27,2,summer
4,90,1,summer
5,16,13,summer
5,37,11,summer
5,93,5,summer
6,9,94,summer
6,14,1,summer
6,45,51,summer
7,5,104,summer
7,7,2,summer
7,23,18,summer
8,5,54,summer
8,23,10,summer
8,84,1,summer
8,93,3,summer
9,5,42,summer
9,42,11,summer
9,45,75,summer
10,5,118,summer
10,21,1,summer
10,37,21,summer
10,93,4,summer
11,9,44,summer
11,61,2,summer
11,68,33,summer
11,87,2,summer
12,16,25,summer
12,37,19,summer
12,93,12,summer
13,5,51,summer
13,36,108,summer
14,9,3,summer
14,25,6,summer
14,93,4,summer
15,5,43,summer
15,45,88,summer
15,93,14,summer
16,16,24,summer
16,25,146,summer
17,9,156,summer
17,37,54,summer
17,48,182,summer
18,5,22,summer
18,37,4,summer
18,72,1,summer
19,16,9,summer
19,83,10,summer
20,5,50,summer
20,41,32,summer
20,74,1,summer
21,5,39,summer
21,44,59,summer
22,9,59,summer
22,68,37,summer
22,78,2,summer
22,93,2,summer
23,5,50,summer
23,29,1,summer
23,45,25,summer
24,6,77,summer
24,43,43,summer
25,9,59,summer
25,45,94,summer
25,81,10,summer
25,84,1,summer
26,2,1,summer
26,5,29,summer
26,45,39,summer
27,9,10,summer
27,21,1,summer
27,68,82,summer
28,5,46,summer
28,45,58,summer
29,8,18,summer
29,41,20,summer
29,45,75,summer
30,16,24,summer
30,44,214,summer
31,9,25,summer
31,45,61,summer
31,93,4,summer
32,9,8,summer
32,45,45,summer
32,58,5,summer
32,86,4,summer
32,93,14,summer
33,9,24,summer
33,44,194,summer
33,92,1,summer
34,9,30,summer
34,31,1,summer
34,45,104,summer
34,52,2,summer
34,93,1,summer
35,16,10,summer
35,63,2,summer
35,66,10,summer
35,93,1,summer
36,1,5,summer
36,9,16,summer
36,44,100,summer
37,5,21,summer
37,45,66,summer
38,9,27,summer
38,45,92,summer
38,52,2,summer
38,93,1,summer
39,36,11,summer
40,5,40,summer
40,45,46,summer
40,93,7,summer
41,16,27,summer
41,68,37,summer
41,93,1,summer
42,5,32,summer
42,45,65,summer
42,82,1,summer
43,3,1,summer
43,16,56,summer
43,37,23,summer
44,5,39,summer
44,68,57,summer
44,93,2,summer
44,94,2,summer
45,9,39,summer
45,26,2,summer
1,9,12,summer
1,28,5,summer
2,5,128,summer
2,44,134,summer
2,93,5,summer
3,2,3,summer
3,5,66,summer
3,45,100,summer
4,9,89,summer
4,27,4,summer
4,90,1,summer
4,93,4,summer
5,16,16,summer
5,20,1,summer
5,32,1,summer
5,37,12,summer
5,93,4,summer
6,9,115,summer
6,14,1,summer
6,45,63,summer
7,5,53,summer
7,23,19,summer
7,93,2,summer
8,5,28,summer
8,23,9,summer
8,93,3,summer
9,5,184,summer
9,10,2,summer
9,42,4,summer
9,45,1,summer
10,5,105,summer
10,21,1,summer
10,37,4,summer
10,93,1,summer
11,9,13,summer
11,68,35,summer
11,86,1,summer
11,87,2,summer
12,16,34,summer
12,37,21,summer
13,5,149,summer
13,36,94,summer
13,46,3,summer
14,9,27,summer
14,25,17,summer
14,33,1,summer
14,70,4,summer
14,93,10,summer
15,5,45,summer
15,45,96,summer
16,16,29,summer
16,25,118,summer
16,93,2,summer
17,9,281,summer
17,37,88,summer
17,48,169,summer
18,5,21,summer
18,37,6,summer
18,57,2,summer
19,16,31,summer
19,69,2,summer
19,83,11,summer
19,88,1,summer
19,93,6,summer
20,5,175,summer
20,18,2,summer
20,41,39,summer
20,74,7,summer
21,5,65,summer
21,44,119,summer
22,9,77,summer
22,68,43,summer
22,78,3,summer
23,5,28,summer
23,45,40,summer
23,56,1,summer
24,6,85,summer
24,43,61,summer
25,9,62,summer
25,45,70,summer
25,81,10,summer
25,84,2,summer
25,93,6,summer
26,2,6,summer
26,5,66,summer
26,45,78,summer
27,9,7,summer
27,21,1,summer
27,68,42,summer
27,80,1,summer
28,5,120,summer
28,45,53,summer
29,8,67,summer
29,41,40,summer
29,45,99,summer
29,56,2,summer
30,13,4,summer
30,16,64,summer
30,44,269,summer
31,9,10,summer
31,45,96,summer
32,9,47,summer
32,45,35,summer
32,58,1,summer
32,93,5,summer
33,9,159,summer
33,44,158,summer
33,92,2,summer
34,9,80,summer
34,45,154,summer
35,16,28,summer
35,66,12,summer
35,93,2,summer
36,1,1,summer
36,9,37,summer
36,30,1,summer
36,44,138,summer
37,5,34,summer
37,45,41,summer
38,9,65,summer
38,45,143,summer
38,52,2,summer
38,93,3,summer
39,9,4,summer
39,36,12,summer
40,5,23,summer
40,45,61,summer
40,93,6,summer
41,16,40,summer
41,68,32,summer
41,93,2,summer
42,5,125,summer
42,45,92,summer
42,82,1,summer
43,16,79,summer
43,37,17,summer
43,73,1,summer
43,93,1,summer
44,5,65,summer
44,68,49,summer
44,93,3,summer
45,9,4,summer
45,26,15,summer
1,9,13,summer
1,28,7,summer
1,89,1,summer
1,93,3,summer
2,5,52,summer
2,44,118,summer
3,5,108,summer
3,45,79,summer
4,9,87,summer
4,27,5,summer
4,90,2,summer
4,93,1,summer
5,16,26,summer
5,32,1,summer
5,37,6,summer
6,9,28,summer
